Ref.;Descripción;Subtotal;IGV;category;precio;categoria padre
1306;Comida para Perro RICOCAN Adultos Paté Cordero Lata 330g;4.58;18;Alimento Húmedo para Perros;5.4;Mascotas
1309;Galletas DOBLE DELEITE Sabor Vainilla Chocolate Paquete 42g;0.51;18;Galletas;0.6;Dulcería
1310;Galletas DOBLE DELEITE Sabor Manzana Durazno Paquete 42g;0.51;18;Galletas;0.6;Dulcería
1311;Galletas DOBLE DELEITE Sabor Fresa Apricot Paquete 42g;0.51;18;Galletas;0.6;Dulcería
1312;Galletas BLACKOUT Clásico Rojo Paquete 60g;0.85;18;Galletas;1;Dulcería
1313;Galletas BLACKOUT Menta Verde Paquete 60g;0.85;18;Galletas;1;Dulcería
1314;Galletas SAN JORGE Animalitos Vainilla Bolsa 60g;0.85;18;Galletas;1;Dulcería
1315;Zapallo por Kg;2.54;18;Verduras;3;Frutas y Verduras
1316;Maicena DURYEA Caja 500g;8.22;18;Repostería;9.7;TIENDA
1317;Papas LAYS al Hilo Bolsa 155g;4.24;18;Papas;5;Snacks
1318;Desinfectante multiuso PINE-SOL Limón Botella 900ml;8.47;18;Limpiadores Multiusos;10;Limpieza
1319;Quitamanchas CLOROX Colores Vivos Botella 580 ml;3.64;18;Quitamanchas;4.3;Cuidado de Ropa
1320;Detergente en Polvo ARIEL Pro Cuidado Bolsa 720g;9.15;18;Detergentes;10.8;Cuidado de Ropa
1321;Chocotoncito D'ONOFRIO Bolsa 80gr;4.66;18;Panetones;5.5;Panadería y Pastelería
1323;Crema Para Peinar HEAD & SHOULDERS Hidratación Aceite De Coco Anti Frizz 16ml;1.02;18;Cuidado del Cabello;1.2;Cuidado Personal
1324;Chocolate LENTEJAS en Grageas Caja 30g;1.69;18;Chocolatería;2;Dulcería
1325;Clavo de Olor Entero GRANEL Bolsa 15g;0.59;18;Cremas y Condimentos;0.7;Abarrotes
1326;LOS CUATES Tradicional Bolsa 43g;1.02;18;Maiz;1.2;Snacks
1327;Infusiones MC COLIN'S Té Puro Caja 25un;2.71;18;Café e Infusiones;3.2;Desayunos
1328;Infusiones MC COLIN'S Hierba Luisa Caja 25un;2.71;18;Café e Infusiones;3.2;Desayunos
1329;Margarina MANTY Pote 300g;4.83;18;Mantequilla y Margarina;5.7;Lácteos y Huevos
1330;Néctar FRUGOS DEL VALLE Sabor a Naranja Caja 970ml;3.81;18;Jugos y Néctares;4.5;Bebidas
1333;Bebida de Coco LAIVE Caja 946ml;8.9;18;Leche de Soya y Otras Bebidas Vegetales;10.5;Lácteos y Huevos
1334;Yogurt LAIVE Probióticos Fresa Botella 946gr;6.1;18;Yogurts;7.2;Lácteos y Huevos
1335;Yogurt LAIVE Probióticos Vainilla Francesa Botella 946gr;6.1;18;Yogurts;7.2;Lácteos y Huevos
1341;Yogurt Griego LAIVE Natural Botella 800gr;8.47;18;Yogurts;10;Lácteos y Huevos
1342;Yogurt Griego LAIVE Frutos Rojos Botella 800gr;8.47;18;Yogurts;10;Lácteos y Huevos
1346;Mezcla Láctea Evaporada PURA VIDA Lata 155g;1.27;18;Mezclas Lácteas;1.5;Lácteos y Huevos
1347;Ají Panca SIBARITA Sachet 32.4g;1.02;18;Cremas y Condimentos;1.2;Abarrotes
1348;Palillo SIBARITA Sachet 32.4g;1.02;18;Cremas y Condimentos;1.2;Abarrotes
1349;Tuco Tallarin SIBARITA Sachet 32.4g;1.02;18;Cremas y Condimentos;1.2;Abarrotes
1350;Pimienta SIBARITA Sobre 10g;0.68;18;Cremas y Condimentos;0.8;Abarrotes
1351;Comino SIBARITA Sobre 10g;0.68;18;Cremas y Condimentos;0.8;Abarrotes
1353;CAJÓN ENVASES - Cerveza PILSEN Callao Botella 305ml;5.08;18;Envases;6;TIENDA
1354;Helado Sublime D'ONOFRIO Dúo Lúcuma Paleta 80ml;2.97;18;Helados;3.5;Congelados
1357;Wafer COCOSETTE Sabor a Coco Paquete 50g;1.69;18;Wafers y Barquillos;2;Dulcería
1358;Chocolate NESTLÉ Sorrento Tableta 32gr;1.69;18;Chocolatería;2;Dulcería
1359;Cigarro HAMILTON Light 20un;3.81;18;Cigarros;4.5;Tabaco y Vapes
1360;Cigarro GOLDEN BEACH Menthol 20un;3.81;18;Cigarros;4.5;Tabaco y Vapes
1362;Galletas SAN JORGE Cracknel Saladas Paquete 140g;2.12;18;Galletas;2.5;Dulcería
1368;Helado Sublime D'ONOFRIO Clásico Pote 900ml;16.86;18;Helados;19.9;Congelados
1369;Lavavajilla Líquido AYUDÍN Limón y Sábila Botella 900ml;12.29;18;Lavavajillas;14.5;Limpieza
1370;Lavavajilla Líquido AYUDÍN Limón y Sábila Botella 640ml;10.08;18;Lavavajillas;11.9;Limpieza
1372;Shampoo HEAD & SHOULDERS Hidratación Aceite de Coco Sachet 18ml;0.93;18;Cuidado del Cabello;1.1;Cuidado Personal
1373;Agua Mineral SAN MATEO Sin Gas Botella 2.5L;3.81;18;Agua Mineral;4.5;Bebidas
1374;Vinagre Blanco DEL FIRME Doypack 1.1L;3.47;18;Cremas y Condimentos;4.1;Abarrotes
1375;Vinagre Tinto DEL FIRME Doypack 1.1L;3.47;18;Cremas y Condimentos;4.1;Abarrotes
1376;Vinagre Blanco VENTURO Botella 1L;4.83;18;Cremas y Condimentos;5.7;Abarrotes
1377;Vinagre Tinto VENTURO Botella 125ml;1.27;18;Cremas y Condimentos;1.5;Abarrotes
1378;Vinagre Blanco VENTURO Botella 125ml;1.27;18;Cremas y Condimentos;1.5;Abarrotes
1379;Jabón en Barra TROME Frescura de Limón Paquete 190g;1.69;18;Jabones de Ropa;2;Cuidado de Ropa
1380;Jabón en Barra TROME Perfume de Flores Paquete 190g;1.69;18;Jabones de Ropa;2;Cuidado de Ropa
1381;Crema de Tratamiento NUTRIBELA Cauterización Sachet 27ml;1.27;18;Cuidado del Cabello;1.5;Cuidado Personal
1382;Servilletas ELITE Práctica Doblada en 2 Paquete 100un;2.12;18;Servilletas;2.5;Limpieza
1383;Servilletas ELITE Dobladas en 4 Paquete 100un;3.64;18;Servilletas;4.3;Limpieza
1385;Crema de Tratamiento NUTRIBELA Nutrición Avanzada Sachet 27ml;1.27;18;Cuidado del Cabello;1.5;Cuidado Personal
1386;Crema de Tratamiento NUTRIBELA Reparación Intensiva Sachet 27ml;1.27;18;Cuidado del Cabello;1.5;Cuidado Personal
1387;Cigarro MARLBORO Kretek Mint por Unidad;1.27;18;Cigarros;1.5;Tabaco y Vapes
1388;Limpiador POETT Bebé Botella 900 ml;3.22;18;Limpiadores Multiusos;3.8;Limpieza
1389;Limpiador POETT Frescura de Lavanda Botella 900 ml;3.22;18;Limpiadores Multiusos;3.8;Limpieza
1390;Limpiador POETT Flores de Primavera Botella 900 ml;3.22;18;Limpiadores Multiusos;3.8;Limpieza
1391;Aceite Vegetal MIRASOL Botella 200ml;2.12;18;Aceites;2.5;Abarrotes
1392;Suavizante BOLIVAR Plus Orquideas Sachet 80ml;0.85;18;Suavizantes;1;Cuidado de Ropa
1393;Suavizante BOLIVAR Bebés y Niños Sachet 80ml;0.85;18;Suavizantes;1;Cuidado de Ropa
1394;Suavizante BOLIVAR Aroma Activo Sachet 80ml;0.85;18;Suavizantes;1;Cuidado de Ropa
1395;Yogurt Bebible GLORIA Sabor Natural Botella 946gr;5.93;18;Yogurts;7;Lácteos y Huevos
1397;Cinta Adhesiva PEGAFAN 12mm x 23m por unidad;0.85;18;Adhesivos y Cintas;1;Librería y Oficina
